xSource ; ySource ; angle ; xTarget ; yTarget ; sens
0.0;0.0;0.0;0.0;-0.0;true
48.6893;2.29659;-0.6591986;48.689365;2.2967181;true
48.6894;2.59975;-0.34838498;48.689583;2.6005573;true
48.6904;2.33902;-3.5053463;48.69036;2.338867;true
48.6874;2.40955;-3.014915;48.68741;2.4092107;true
48.6875;2.51246;-2.4522176;48.68774;2.5120127;true
48.6909;2.32307;-0.04794303;48.690895;2.3231938;true
48.6915;2.11419;-0.37003574;48.69171;2.1150618;true
48.8885;2.3929;-5.030217;48.888134;2.3930824;true
48.8886;2.4943;-3.0912051;48.8886;2.4941318;true
48.8884;2.34605;-1.6679767;48.888546;2.3460295;true
48.6577;2.34831;-5.79276;48.65763;2.3485067;true
48.657;2.36952;-2.1170774;48.65703;2.3695054;true
48.6541;1.84955;-0.55808944;48.654217;1.8498658;true
48.6549;2.42326;-3.5914664;48.654697;2.4226086;true
48.6528;2.31332;-5.0124335;48.652603;2.313436;true
48.6515;2.40682;-3.288387;48.65147;2.4066658;true
48.652;2.39851;-3.477348;48.65193;2.3982563;true
48.6378;2.34471;-4.323285;48.63765;2.3446138;true
48.6398;2.31318;-4.7892933;48.63964;2.3132002;true
48.6406;2.36336;-4.609172;48.640415;2.363354;true
48.6425;2.43146;-3.6223724;48.642307;2.430917;true
48.643;1.84358;-0.5279154;48.64319;1.8440853;true
48.6432;2.54368;-5.50461;48.642685;2.5444207;true
48.6436;2.06127;-5.6389017;48.64333;2.0618236;true
48.8859;2.39013;-4.489657;48.88558;2.3900151;true
48.8856;2.40001;-4.7628865;48.885223;2.4000425;true
48.8855;2.31639;-4.851761;48.88524;2.3164697;true
48.8857;2.34769;-4.0280027;48.88558;2.3475292;true
48.8857;2.29247;-0.36790466;48.88572;2.2925217;true
48.8946;2.47935;-2.724043;48.894733;2.47888;true
48.8947;2.28463;-4.7731447;48.894463;2.2846346;true
48.8951;2.22246;-5.841432;48.895046;2.22265;true
48.8948;2.2274;-4.932946;48.89457;2.22747;true
48.8338;2.24412;-0.63737655;48.833862;2.2443056;true
48.8823;2.33731;-3.3639271;48.882248;2.3369796;true
48.482;2.18344;-1.1749076;48.482273;2.1836188;true
48.8766;2.35866;-4.842203;48.876526;2.358686;true
48.8766;2.63572;-4.9189577;48.876415;2.6357796;true
48.8766;2.33249;-4.5407495;48.876526;2.332463;true
48.8765;2.47911;-2.9565885;48.87651;2.4789982;true
48.8765;2.38496;-5.289314;48.876457;2.384993;true
48.848;2.3948;-1.8142066;48.848206;2.3947172;true
48.9281;2.50954;-2.206918;48.92823;2.5093837;true
48.9282;2.27866;-4.81465;48.92801;2.2786686;true
48.9277;2.87974;-5.622798;48.92752;2.880095;true
48.9281;2.25518;-5.153681;48.92774;2.2554455;true
48.9281;2.29167;-5.8515434;48.928024;2.2918983;true
48.9281;2.41527;-3.2010257;48.928062;2.4147384;true
48.9267;2.49228;-3.01689;48.926727;2.4918737;true
48.9274;2.39171;-2.6698782;48.927452;2.3915489;true
48.9277;2.53905;-2.510223;48.927822;2.538792;true
48.852;2.39402;-1.0120562;48.852116;2.3941104;true
48.8633;2.4378;-2.67937;48.863384;2.43754;true
48.8748;2.32841;-0.9711246;48.87498;2.3286035;true
48.875;2.34022;-4.8272867;48.874794;2.340266;true
48.8521;2.33953;-2.8094828;48.85217;2.3391871;true
48.9679;2.24344;-4.119596;48.967735;2.2432947;true
48.9683;2.30579;-2.1681082;48.968567;2.3055155;true
48.9684;2.31928;-2.0595033;48.968624;2.3190818;true
48.9685;1.74299;-5.6063976;48.968266;1.7433898;true
48.7734;2.0832;-1.4498904;48.773636;2.0832434;true
48.7732;2.46879;-1.2482438;48.773525;2.4689708;true
48.7727;2.12822;-1.6284912;48.77288;2.12819;true
48.7725;2.0589;-1.5750151;48.772827;2.058908;true
48.7714;2.2217;-2.352881;48.771736;2.2212176;true
48.7712;2.4442;-2.2531426;48.771397;2.4439442;true
48.772;2.33449;-2.174438;48.7722;2.3342662;true
48.9392;2.2721;-5.300037;48.938805;2.2725174;true
48.8441;2.34522;-2.1369948;48.844273;2.345052;true
48.844;2.26065;-5.961567;48.843945;2.2608385;true
48.8436;2.63403;-1.0552019;48.843834;2.6342294;true
48.8681;2.32189;-2.3741372;48.868122;2.3218455;true
48.8678;2.36378;-4.019517;48.867702;2.3636744;true
48.8429;2.35192;-5.8961143;48.84289;2.3519619;true
48.8429;2.3126;-0.39350408;48.842934;2.3127282;true
48.8429;2.25984;-0.9297613;48.842934;2.259878;true
48.8427;2.23166;-4.048771;48.842415;2.2313461;true
48.8431;2.25391;-0.1031625;48.84311;2.2542322;true
48.8431;2.06656;-5.1030006;48.84277;2.0667615;true
48.8341;2.3137;-5.192611;48.83404;2.3137395;true
49.0042;2.56759;-2.2091248;49.004253;2.567526;true
48.8477;2.20105;-4.714626;48.847374;2.2010446;true
48.761;2.2079;-1.9613975;48.761463;2.2076004;true
48.7615;2.13693;-0.82467836;48.761913;2.1375096;true
48.8246;2.34944;-2.2478776;48.824696;2.3493156;true
48.8337;2.36194;-0.28913933;48.83374;2.362141;true
48.7996;2.45686;-1.7642348;48.79974;2.4568198;true
48.7992;2.07189;-1.682597;48.799427;2.071851;true
48.7987;2.31487;-4.382057;48.7985;2.3147674;true
48.7986;1.59809;-0.054278065;48.798634;1.599534;true
48.7992;1.70332;-0.36802855;48.799427;1.704207;true
48.7984;2.34445;-4.11611;48.798183;2.3442261;true
48.7983;2.32326;-5.5418005;48.798237;2.3233793;true
48.8449;2.38809;-0.1809044;48.84494;2.3884985;true
48.7861;2.42564;-1.2785784;48.78623;2.4257095;true
48.8455;2.33017;-0.7750739;48.845627;2.3303733;true
48.8449;2.32892;-2.4956462;48.84504;2.328654;true
48.8448;2.78961;-4.5845137;48.844585;2.7895617;true
48.8448;2.39867;-1.2078635;48.844955;2.3987787;true
48.8448;2.3402;-2.8865032;48.84482;2.3400297;true
48.9387;2.48023;-3.7404387;48.9386;2.480043;true
48.7149;2.43242;-4.40022;48.71477;2.4323497;true
48.7143;2.39423;-4.6708765;48.713787;2.3942115;true
48.8521;2.29814;-0.7436458;48.852264;2.2984202;true
48.7141;1.88569;-0.85616887;48.714306;1.8859984;true
48.7136;2.28014;-4.377306;48.713394;2.2800338;true
48.7134;2.3707;-4.775783;48.71313;2.3707354;true
48.8521;2.42523;-2.6563206;48.852222;2.424867;true
48.8521;2.40188;-0.51693314;48.852154;2.402065;true
48.8507;2.3235;-0.56169933;48.85075;2.3236487;true
48.8509;2.36919;-5.1421514;48.850735;2.3692863;true
48.8761;2.33153;-6.219967;48.87609;2.3316205;true
48.851;2.36252;-3.5394125;48.850872;2.3620565;true
48.9404;2.12124;-4.777792;48.94005;2.1212804;true
48.8511;2.33743;-0.79109734;48.851128;2.3374681;true
48.8347;2.30621;-0.3567796;48.834766;2.3064423;true
48.7042;2.4813;-1.9385418;48.70445;2.4811554;true
48.704;2.17227;-5.9100876;48.7039;2.1726983;true
48.701;2.46653;-2.1715457;48.701206;2.466325;true
48.702;2.2462;-1.643958;48.702133;2.2461934;true
48.7032;2.87672;-5.11397;48.703175;2.8767414;true
48.704;2.10757;-0.5725245;48.70431;2.108253;true
48.7036;2.42885;-3.020682;48.703613;2.4286587;true
49.0935;2.54275;-4.450303;49.092728;2.5424323;true
48.7085;2.17964;-5.004801;48.708244;2.1797764;true
48.7084;2.32836;-2.5503755;48.708435;2.3282833;true
48.7117;2.2705;-2.860453;48.71178;2.2700064;true
48.7113;2.44951;-2.2677596;48.711346;2.449455;true
48.8878;2.3254;-4.3688745;48.887604;2.3253005;true
48.8876;2.38374;-5.2212996;48.887344;2.3839483;true
48.888;2.32503;-1.0541983;48.88815;2.3251488;true
48.8881;2.24822;-3.1649804;48.888096;2.2480304;true
48.8882;2.25119;-3.5179346;48.888134;2.2509797;true
48.623;2.38166;-4.9431057;48.622852;2.3817236;true
48.6205;2.72225;-0.093069166;48.620518;2.7224705;true
48.622;2.3239;-2.4833496;48.622086;2.323733;true
48.6217;2.34689;-2.3485796;48.621853;2.346653;true
48.6245;2.44234;-3.689964;48.62441;2.4420905;true
48.6236;2.36058;-2.5914268;48.623737;2.3602195;true
48.8864;2.41188;-4.2204247;48.88617;2.411688;true
48.8864;2.27883;-4.9430914;48.886196;2.2788877;true
48.8862;2.28586;-5.26362;48.886047;2.2859998;true
48.8861;1.73535;-5.838244;48.88591;1.735924;true
48.8862;2.30177;-3.490218;48.886143;2.3015718;true
48.8862;2.29374;-4.847231;48.886127;2.2937353;true
48.8865;2.30853;-5.479867;48.886414;2.30865;true
48.8958;2.23497;-3.8160708;48.895718;2.2348347;true
48.8954;2.42229;-0.31806508;48.89546;2.4225245;true
48.8954;2.22438;-4.3607144;48.89528;2.2243185;true
48.8956;2.32187;-0.6456123;48.89565;2.3219972;true
48.8955;2.50515;-6.034683;48.895405;2.5056593;true
48.5629;2.28978;-0.51690716;48.563046;2.290196;true
48.5615;2.63646;-4.988726;48.56142;2.6365047;true
48.5594;3.15585;-1.4275385;48.559643;3.1558912;true
48.5578;2.69477;-3.0380294;48.55781;2.6944783;true
48.557;2.97786;-1.5055059;48.557323;2.977892;true
48.5566;2.67113;-5.6090293;48.556435;2.6714406;true
48.5555;2.40591;-2.3150673;48.55582;2.4054692;true
48.5554;2.65013;-3.5302236;48.55533;2.6499193;true
48.5543;3.02725;-5.2143693;48.554085;3.0274224;true
48.8767;2.40387;-4.117794;48.876617;2.403801;true
48.8768;2.30293;-3.7283938;48.876686;2.302684;true
48.858;2.38261;-4.2865853;48.85788;2.3825326;true
48.8769;2.28672;-4.371773;48.87688;2.2867246;true
48.8582;2.26677;-5.722594;48.858055;2.2671247;true
48.8517;2.34273;-2.687421;48.851784;2.3424735;true
48.7919;2.04393;-6.079985;48.791874;2.0440607;true
49.0828;2.64874;-4.5712194;49.082237;2.6486049;true
48.8583;2.27942;-2.482157;48.858387;2.2792587;true
48.9296;2.26783;-4.944256;48.929253;2.2679672;true
48.9294;2.89831;-3.1692266;48.92939;2.8977735;true
48.9294;2.36152;-0.8460671;48.92946;2.3616014;true
48.9293;2.04522;-1.7284596;48.929596;2.0451562;true
48.9292;3.03239;-3.787774;48.929035;3.0320907;true
49.0741;2.07882;-4.2712555;49.07385;2.0786428;true
48.9287;2.34094;-5.3530827;48.928516;2.341142;true
48.9284;2.48237;-2.4118655;48.928463;2.4822507;true
48.9283;2.38301;-1.5594107;48.92841;2.3830044;true
48.8624;2.35819;-5.3010855;48.862274;2.3582983;true
48.874;2.38572;-3.6623125;48.873917;2.3855157;true
48.8632;2.12042;-4.522057;48.86273;2.120303;true
48.8629;2.57696;-3.1655128;48.862892;2.5761716;true
48.8627;2.38789;-2.803927;48.86273;2.3877738;true
48.8737;2.32844;-3.411337;48.873615;2.3280642;true
48.8737;2.38262;-3.8838682;48.873657;2.3825495;true
48.8625;2.34965;-2.592043;48.862522;2.3495855;true
48.8738;2.32522;-1.3970466;48.87396;2.3252668;true
48.8744;2.32084;-1.5359709;48.874653;2.3208683;true
48.9731;1.6915;-0.9211371;48.973366;1.691837;true
48.973;1.84723;-5.1084757;48.97242;1.8475907;true
48.9729;2.27125;-1.6921756;48.973064;2.2712364;true
48.9735;2.34633;-1.9873136;48.973675;2.3461978;true
48.9734;2.48871;-1.0385383;48.973858;2.4891098;true
48.9734;2.38262;-6.0400643;48.973293;2.38319;true
48.8684;2.28264;-1.5090995;48.868645;2.2826629;true
48.8682;2.34074;-5.7374296;48.868153;2.3408387;true
48.8683;2.60774;-0.22414798;48.86838;2.6083264;true
48.8416;2.30775;-2.9014196;48.841663;2.3073692;true
48.8418;2.34843;-0.77995956;48.841858;2.3485236;true
48.8419;2.36589;-5.1631885;48.84176;2.3659663;true
48.842;2.32575;-1.163992;48.84206;2.3257892;true
49.0045;2.27797;-5.765331;49.00444;2.2781126;true
48.7996;2.968;-1.2608542;48.799683;2.9680498;true
48.8599;1.9701;-4.292107;48.85975;1.9699925;true
48.8005;1.91;-4.566462;48.800262;1.909929;true
48.8002;2.42642;-2.3720663;48.800262;2.4262993;true
48.8003;1.96372;-4.4624267;48.8002;1.9636726;true
48.8008;2.4726;-2.2251093;48.800926;2.4724593;true
48.8009;2.26319;-5.8437905;48.800777;2.2635517;true
48.8601;2.84662;-1.7760773;48.860435;2.8465073;true
48.7689;1.93933;-2.8019452;48.76898;1.9390004;true
48.7693;1.99638;-2.2066207;48.769604;1.9960303;true
48.7683;2.49668;-5.2330055;48.7682;2.4967778;true
48.7689;1.78351;-0.47634876;48.769047;1.7839713;true
48.771;2.86308;-3.965035;48.77071;2.8626862;true
48.7697;2.68478;-2.2868125;48.76974;2.6847205;true
48.77;2.48034;-2.6662698;48.770042;2.4801779;true
48.7711;2.38549;-5.9369173;48.770973;2.3860042;true
48.7712;2.40841;-3.3231409;48.771133;2.4080477;true
48.8688;2.34077;-6.07496;48.86878;2.340923;true
48.8125;2.41839;-3.2271233;48.812473;2.4179068;true
48.8123;2.32943;-2.2621334;48.81254;2.3291428;true
48.7221;2.55278;-2.0432913;48.722588;2.5523922;true
48.7222;2.4526;-4.911307;48.722015;2.4526572;true
48.7236;2.40788;-4.5997057;48.72338;2.4078286;true
48.7217;2.26175;-4.1814523;48.72152;2.261597;true
48.7217;2.50057;-3.4609318;48.72156;2.499946;true
48.7217;2.65184;-1.1445917;48.722084;2.65211;true
48.8524;2.33967;-3.8039117;48.852318;2.339524;true
48.8525;2.27555;-5.369577;48.85244;2.2756014;true
48.7249;2.14537;-5.254874;48.724636;2.1456156;true
48.8523;2.38955;-2.2013264;48.85237;2.3894591;true
48.7001;2.69418;-2.0380876;48.700512;2.6938548;true
48.7009;2.29523;-2.6018791;48.70102;2.294898;true
48.6995;2.61386;-0.24482715;48.69958;2.6143765;true
48.7001;2.33712;-1.7927505;48.700264;2.3370638;true
48.6983;2.41537;-1.9044147;48.698463;2.4152777;true
48.6973;2.1771;-0.20910445;48.697357;2.1775014;true
48.7043;2.50183;-3.2415233;48.70428;2.5014966;true
48.7044;2.36598;-0.48223826;48.704403;2.3660674;true
48.7054;2.38085;-5.1080008;48.705128;2.3810327;true
48.7056;1.97771;-1.4722376;48.70606;1.9777786;true
48.7058;2.05566;-2.4501967;48.706287;2.0547621;true
48.707;2.59376;-0.15154341;48.70708;2.5945914;true
48.7078;2.41438;-4.3564625;48.70768;2.414317;true
48.7081;2.31107;-4.4705114;48.707954;2.311026;true
48.7084;1.75264;-0.5037915;48.70861;1.7532487;true
48.8823;2.52017;-0.06378445;48.882317;2.520591;true
48.8824;2.3209;-6.053247;48.88236;2.3211548;true
48.6307;2.485;-3.6356099;48.63046;2.4843235;true
48.8827;2.34141;-5.0845356;48.882645;2.3414621;true
48.8827;2.34425;-3.106996;48.882698;2.3438723;true
48.6262;1.82314;-1.3542553;48.62654;1.8232383;true
48.6248;2.40959;-2.985771;48.62482;2.4093456;true
48.627;2.13311;-0.55646884;48.627113;2.1334312;true
48.6285;2.42723;-4.4907703;48.62814;2.4270914;true
48.6267;2.26315;-0.11609303;48.62672;2.2635012;true
48.6267;2.42131;-2.3994007;48.626743;2.4212267;true
48.8828;2.3059;-6.1245146;48.882767;2.3061218;true
48.883;2.2421;-2.2824905;48.883053;2.241997;true
48.883;2.30892;-2.4148476;48.883015;2.3088858;true
