xSource ; ySource ; angle ; xTarget ; yTarget ; sens
0.0;0.0;0.0;0.0;-0.0;true
48.8885;2.3929;-1.9918317;48.888706;2.3927455;true
48.8727;2.30498;-0.33473682;48.872715;2.3050773;true
48.8814;2.36419;-3.6016724;48.88132;2.363944;true
48.8962;2.40372;-5.775286;48.89613;2.4038682;true
48.8268;2.52027;0.0;48.826786;2.5202706;true
49.0067;2.57473;-4.860269;49.00661;2.574756;true
48.877;2.3667;-3.4066467;48.876934;2.3662865;true
48.9734;2.48871;-4.2871356;48.972855;2.4883344;true
48.6723;2.1957;-4.423426;48.67173;2.1954496;true
48.7631;2.34006;-0.4337844;48.763226;2.3405018;true
49.0053;2.58411;-3.596942;49.00526;2.5839744;true
48.8276;2.61611;-0.22200134;48.82759;2.61618;true
48.9638;2.62547;-2.2915442;48.964127;2.6250448;true
48.8801;2.35303;-4.3854213;48.880047;2.3530064;true
48.8852;2.35654;-4.4572783;48.884937;2.3564446;true
48.7499;2.32819;-4.102677;48.749565;2.3278282;true
48.8702;2.29061;-0.6251339;48.87027;2.290752;true
48.8806;2.35505;-4.2964926;48.88035;2.3548772;true
48.9026;2.39335;-4.3926454;48.902138;2.393116;true
48.7328;2.31426;-1.0657953;48.733253;2.3146327;true
48.838;2.57359;-5.9716907;48.83769;2.5750256;true
48.8811;2.27073;-0.8159662;48.881115;2.2707815;true
48.7549;2.36713;-0.64838636;48.755096;2.3675337;true
48.9653;2.47463;-1.0995508;48.965878;2.4750714;true
48.7613;2.35317;-1.2682406;48.761326;2.3531919;true
48.8714;2.43765;-0.18324983;48.87144;2.4380627;true
48.8535;2.36824;-2.3262749;48.853645;2.3680222;true
48.8925;2.35899;-4.001728;48.89225;2.358669;true
48.8708;2.32777;-1.6022819;48.87083;2.3277779;true
48.87;2.30548;-1.5523013;48.870037;2.3054817;true
48.8353;2.53221;-3.4719145;48.83509;2.531343;true
48.7279;2.3683;-1.824786;48.728363;2.3681066;true
48.7289;2.35886;-1.7695223;48.729282;2.3587365;true
48.6321;2.59926;-0.89441663;48.63259;2.5998495;true
48.6432;2.54368;-1.4169492;48.643845;2.5438309;true
48.8168;2.40367;-6.1410437;48.816776;2.403902;true
48.9086;2.94526;-0.57753474;48.90879;2.9457536;true
48.8768;2.30293;-0.75359464;48.876827;2.3029704;true
49.0042;2.57615;-4.079291;49.004124;2.5760872;true
48.8561;2.47746;-1.8322783;48.85632;2.47738;true
48.8648;2.28802;-4.6983194;48.86475;2.288005;true
48.8763;2.3482;-2.467564;48.87639;2.3480518;true
48.8685;2.29692;-0.08975817;48.868507;2.2971563;true
49.0024;2.56635;-0.3265352;49.002434;2.5665147;true
48.8857;2.34769;-5.487605;48.88558;2.3478496;true
48.8735;2.33716;-1.5720196;48.87359;2.3371649;true
49.0026;2.57744;-4.503524;49.002514;2.5774016;true
48.8736;2.30973;-2.7978318;48.873657;2.3094923;true
48.6647;2.552;-3.1510184;48.664677;2.5518024;true
48.8827;2.34141;-4.339793;48.882645;2.341395;true
48.8617;2.34731;-3.0164437;48.861702;2.3472092;true
48.8231;2.4107;-4.270866;48.823;2.410643;true
49.0034;2.57721;-4.716438;49.003334;2.5772161;true
48.6307;2.485;0.0;48.63069;2.4849977;true
48.8641;2.4776;-4.6775618;48.863873;2.4775827;true
49.0935;2.54275;-4.5587015;49.09286;2.5426006;true
48.8819;2.28434;-5.083184;48.881786;2.2843988;true
48.8765;2.29221;-5.083333;48.87639;2.2922857;true
48.9385;2.41601;-0.3437969;48.93854;2.4162214;true
48.8911;2.3072;-4.077717;48.890884;2.3069646;true
48.8821;2.26273;-2.8990412;48.882153;2.2624056;true
48.9319;2.42194;-6.196765;48.93186;2.422575;true
48.8542;2.49472;-0.8472955;48.8543;2.4948564;true
48.8701;2.27367;-0.13157618;48.87012;2.2738657;true
48.7221;2.55278;-5.2938676;48.72193;2.5529315;true
48.8769;2.28672;-3.156328;48.87688;2.2864883;true
48.9307;2.3125;-6.0030746;48.93062;2.31288;true
48.9519;2.57734;-6.144855;48.95182;2.5781603;true
48.9555;2.47045;-0.7080291;48.955975;2.4712963;true
48.8866;2.33311;-4.6877575;48.88632;2.33312;true
48.9666;2.57448;-5.541313;48.965862;2.5756996;true
48.9978;2.51692;-6.11188;48.99775;2.5171697;true
48.8704;2.33547;-3.1185293;48.87039;2.3353448;true
49.0092;2.56531;-4.807786;49.008717;2.565369;true
48.8735;2.28537;-0.04781509;48.87349;2.2854605;true
48.8756;2.2944;-0.34024134;48.875637;2.2945948;true
48.8171;2.35107;-4.973877;48.81694;2.351136;true
49.0075;2.53799;-0.75145656;49.00768;2.5382862;true
48.8989;2.30427;-4.519379;48.898792;2.3042345;true
48.8741;2.35828;-2.8768961;48.874107;2.3581805;true
48.8657;2.30015;-1.2243689;48.865856;2.3002403;true
49.0096;2.57021;-4.656743;49.009262;2.5701716;true
48.8738;2.32522;-3.5379608;48.873753;2.3251488;true
48.7342;2.36749;-0.31768626;48.734226;2.3676345;true
48.9062;2.35953;-0.42402822;48.906345;2.3600173;true
48.985;2.62858;-2.7531517;48.985176;2.6278927;true
49.0052;2.57691;-3.1901355;49.00518;2.5767612;true
48.8972;2.31311;-3.855781;48.897003;2.312745;true
48.7519;2.37559;-3.0850077;48.7519;2.3753364;true
48.8804;2.28064;-5.4477363;48.88035;2.2807078;true
49.0411;2.54249;-3.5219975;49.04098;2.5420613;true
48.7032;2.87672;-2.3851442;48.70401;2.8754268;true
48.94;2.59516;-5.511766;48.939625;2.5957544;true
0.0;0.0;3.1415927;0.0;-0.0;false
48.8885;2.3929;-1.1878979;48.88815;2.3926778;false
48.8727;2.30498;0.6471276;48.8727;2.304959;false
48.8814;2.36419;-0.4508443;48.881348;2.364062;false
48.8962;2.40372;-0.44199896;48.896137;2.403565;false
48.8268;2.52027;-0.18586826;48.82671;2.5196302;false
49.0067;2.57473;-1.250922;49.006557;2.5746546;false
48.877;2.3667;0.1460414;48.877033;2.366371;false
48.9734;2.48871;2.3457737;48.97379;2.4892783;false
48.6723;2.1957;1.3263392;48.67264;2.1955674;false
48.7631;2.34006;-1.7454522;48.762527;2.3402152;false
49.0053;2.58411;-1.2773974;49.005028;2.5839744;false
48.8276;2.61611;-2.849847;48.82735;2.6172924;false
48.9638;2.62547;-1.0763571;48.963284;2.6250448;false
48.8801;2.35303;-1.1876452;48.880077;2.3530064;false
