xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6894;2.59975;-4.858642;48.689148;2.5997825;27.989525;2.3796163;73.294624;true
48.6909;2.32307;-1.7906134;48.69122;2.322958;35.623028;8.223431;50.85983;true
48.8885;2.3929;-4.861465;48.888382;2.392914;13.146594;1.0282457;67.70862;true
48.6432;2.54368;-0.13750266;48.643204;2.543949;0.4240837;19.754921;75.767395;true
48.8856;2.40001;-4.5102415;48.8855;2.3999922;11.0261755;1.3071676;70.76129;true
48.8857;2.34769;-4.3320045;48.88554;2.347597;17.811514;6.8146873;80.329445;true
48.8946;2.47935;-2.980521;48.894623;2.4790823;2.5445023;19.569134;76.99785;true
48.8947;2.28463;-4.9065285;48.894585;2.2846682;12.72251;2.7881167;60.931698;true
48.8948;2.2274;-5.2012453;48.894543;2.2275877;28.413605;13.714024;49.81882;true
48.8689;2.30896;-0.022368172;48.8689;2.3091218;0.0;11.838176;54.118782;true
48.9281;2.41527;-3.8220687;48.927956;2.415025;16.115181;17.901676;53.682087;true
48.8801;2.35303;-4.2460346;48.88001;2.3529558;10.178009;5.4209843;92.73971;true
48.7712;2.4442;-0.61072594;48.771244;2.444332;5.0890045;9.6602125;42.410343;true
48.8516;2.40805;-1.2932689;48.85173;2.4081151;14.418844;4.7613244;75.67293;true
48.8681;2.32189;-5.7202063;48.868057;2.3219972;4.664921;7.8283157;91.335686;true
48.8427;2.23166;-3.9267426;48.842648;2.231582;5.9371715;5.7041388;82.120705;true
48.8477;2.25385;-4.052161;48.84762;2.25376;8.905757;6.5756745;51.371693;true
48.7996;2.45686;-4.8451176;48.79948;2.4568872;13.146594;1.9903096;91.79144;true
48.7618;2.30238;-2.036623;48.76185;2.302347;5.5130877;2.4286091;88.43024;true
48.7984;2.34445;-3.8838422;48.7982;2.344125;22.476435;23.796988;85.9939;true
48.8455;2.33017;-0.502155;48.845543;2.330289;4.664921;8.703995;75.54214;true
48.8448;2.3402;-2.8869498;48.84482;2.3400297;2.1204183;12.454388;81.615265;true
48.8763;2.3482;-5.1314006;48.876156;2.3483045;16.115181;7.635278;53.734962;true
48.715;2.25451;-2.8765109;48.71502;2.2544007;2.1204183;8.009634;57.664074;true
48.8519;2.38335;-0.1489997;48.85191;2.3834932;1.2722511;10.481828;80.398026;true
48.852;2.39402;-1.0736698;48.852222;2.394178;24.596853;11.545684;91.63912;true
48.7136;2.28014;-5.248749;48.713417;2.2802866;20.356018;10.755594;92.48173;true
48.888;2.32503;-1.4339753;48.888065;2.3250477;7.209422;1.2896768;64.31143;true
48.8881;2.24822;-3.8950624;48.888012;2.248081;9.753924;10.160542;76.88635;true
48.8864;2.27883;-2.953058;48.886414;2.2786517;1.6963348;13.036609;70.3169;true
48.8862;2.28586;-4.524279;48.885963;2.2857974;26.293188;4.5837464;88.79151;true
48.8865;2.30853;-4.5331426;48.88643;2.3084981;8.0575905;2.3354306;100.11496;true
48.8954;2.22438;-5.345654;48.895294;2.2244868;11.874343;7.8066173;65.63751;true
48.8767;2.40387;-4.3087125;48.87654;2.4037504;17.811514;8.750866;99.93702;true
48.8768;2.30293;-5.2972465;48.876743;2.3029704;6.361255;2.9460027;86.79172;true
48.8769;2.28672;-4.7223015;48.876827;2.2867246;8.0575905;0.33120674;113.82248;true
48.8517;2.34273;-3.2619267;48.851692;2.342541;0.8481674;13.830486;94.76056;true
48.8516;2.37567;-5.749279;48.851566;2.375724;3.8167531;3.9590497;77.78718;true
48.8742;2.29694;-5.5906334;48.874123;2.2970889;8.481673;10.878115;48.38207;true
48.9287;2.34094;-3.994718;48.928627;2.3408556;8.0575905;6.164512;73.011314;true
48.8624;2.35819;-3.7870424;48.862335;2.3580961;7.209422;6.870173;78.44913;true
48.8738;2.31422;-0.070961565;48.873806;2.3146157;0.8481674;28.938803;47.827946;true
48.8738;2.32522;-4.288069;48.873753;2.3251994;5.0890045;1.5166721;112.3836;true
48.9729;2.27125;-3.4343953;48.97287;2.2711525;3.3926697;7.1159687;78.06266;true
48.9734;2.48871;-0.26862997;48.973442;2.4889581;4.664921;18.111609;63.294014;true
48.8682;2.34074;-0.8332571;48.868275;2.3408556;8.481673;8.455958;96.401184;true
48.8418;2.34843;-5.5405784;48.841663;2.3486416;15.267013;15.490417;81.299706;true
48.842;2.32575;-3.1653461;48.84199;2.3255196;0.8481674;16.868439;97.24771;true
48.7683;2.49668;-5.9771876;48.768253;2.4968622;5.0890045;13.346885;85.62824;true
48.8125;2.41839;-2.8850691;48.81254;2.4181087;4.2408366;20.59615;51.79146;true
48.7217;2.26175;-3.0770438;48.7217;2.2616642;0.0;6.294944;76.273285;true
48.7009;2.29523;-1.8050834;48.701126;2.2951338;25.020937;7.049752;68.30554;true
48.707;2.59376;-5.626624;48.706875;2.5940185;13.994762;18.960312;64.26967;true
48.7081;2.31107;-1.3580074;48.708324;2.311161;25.020937;6.68144;61.624393;true
48.6304;2.14354;-6.035687;48.630363;2.1437452;4.2408366;15.082714;52.938435;true
48.883;2.35156;-5.2174616;48.882904;2.351658;10.602093;7.1636515;52.791397;true
48.8931;2.13853;-4.84634;48.892784;2.138605;35.198944;5.4892807;78.321434;true
48.8932;2.33165;-4.402595;48.893078;2.3316205;13.570679;2.1608553;71.36787;true
48.8932;2.38064;-4.347972;48.89297;2.38051;25.44502;9.497308;50.828716;true
48.9011;2.32852;-5.4946094;48.90084;2.328907;28.837688;28.27834;70.64071;true
48.9004;2.19295;-1.0152504;48.90047;2.1930227;8.0575905;5.314242;69.999214;true
48.7982;2.48877;-5.4322705;48.79803;2.488975;18.659683;15.015034;116.30059;true
48.8696;2.30681;-5.9178686;48.86957;2.3068633;2.9685857;3.9053233;92.39625;true
48.8625;2.33894;-1.5049363;48.862576;2.3389513;8.481673;0.8369736;72.28356;true
48.8623;2.36965;-5.8971424;48.86222;2.3699603;8.905757;22.703001;73.319374;true
48.8741;2.35828;-4.4000187;48.87397;2.3582141;14.418844;4.811483;74.55177;true
