xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6875;2.51246;-3.9489195;48.68727;2.5121307;25.44502;24.164516;77.01234;true
48.6909;2.32307;-0.9688005;48.69125;2.3234637;39.015697;28.886984;65.16584;true
48.8885;2.3929;-2.5582726;48.888535;2.3928297;3.8167531;5.1412277;66.55983;true
48.6432;2.54368;-4.3284845;48.643135;2.5436623;7.209422;1.2959788;80.28391;true
48.8856;2.40001;-3.6772828;48.885487;2.3997393;12.72251;19.799234;64.19553;true
48.8857;2.34769;-4.0855045;48.88557;2.3475292;14.418844;11.764485;91.914154;true
48.8946;2.47935;-3.126586;48.8946;2.4789813;0.0;26.957659;77.12483;true
48.8689;2.30896;-0.7020499;48.868946;2.3090377;5.0890045;5.6837187;57.522522;true
48.8335;2.34168;-3.9037395;48.83344;2.341597;6.7853394;6.0715747;63.68609;true
48.9281;2.41527;-4.264983;48.92771;2.4149911;43.256535;20.374477;62.964508;true
48.8521;2.33953;-3.6389396;48.852005;2.3392882;10.602093;17.684742;59.07317;true
48.7712;2.4442;-2.7944894;48.771233;2.443978;3.8167531;16.2634;66.53671;true
48.8681;2.32189;-0.08148884;48.868095;2.32193;0.4240837;2.911645;89.083206;true
48.8427;2.23166;-3.8385756;48.842537;2.2313628;18.235598;21.735035;71.6796;true
48.7996;2.45686;-0.33992037;48.799644;2.4570386;5.0890045;13.076683;102.87202;true
48.7984;2.34445;-2.3175664;48.79844;2.3443778;4.2408366;5.2901597;78.323425;true
48.8455;2.33017;-0.5803399;48.845543;2.3303056;4.664921;9.924994;74.25488;true
48.8448;2.3402;-2.4058185;48.844917;2.3399622;13.146594;17.390789;83.47832;true
48.8763;2.3482;-4.5143685;48.87617;2.3481529;14.418844;3.4515643;76.14345;true
48.715;2.25451;-0.43220875;48.715115;2.254923;12.72251;30.307194;68.32732;true
48.8519;2.38335;-2.7109153;48.85192;2.3832235;2.5445023;9.243542;87.43227;true
48.852;2.39402;-1.6241773;48.85213;2.3940094;14.418844;0.7848275;79.354126;true
48.7136;2.28014;-4.9155827;48.713284;2.280236;35.198944;7.047974;98.51465;true
48.8509;2.36919;-3.7978997;48.85084;2.3690841;6.361255;7.743801;86.68071;true
48.888;2.32503;-1.3510267;48.888134;2.3250647;14.842929;2.5270693;88.83517;true
48.8864;2.27883;-3.2842345;48.886387;2.2787867;1.2722511;3.172009;75.65799;true
48.8862;2.28586;-5.178691;48.886074;2.2859492;13.994762;6.5183315;100.14306;true
48.8865;2.30853;-0.42127463;48.886536;2.308633;3.8167531;7.5291495;73.45724;true
48.8954;2.22438;-3.29079;48.89538;2.2241497;2.5445023;16.833017;64.39858;true
48.8767;2.40387;-3.1827037;48.876686;2.4034977;1.6963348;27.228788;82.6636;true
48.8768;2.30293;-4.312482;48.876633;2.3028188;18.659683;8.140729;99.11645;true
48.8769;2.28672;-3.556956;48.876827;2.2865052;8.0575905;15.706173;98.74035;true
48.8401;2.10967;-0.3237453;48.84016;2.109989;6.7853394;23.341082;69.87905;true
48.8517;2.34273;-2.827749;48.851746;2.3424904;5.0890045;17.52792;91.08405;true
48.9287;2.34094;-5.0001707;48.928364;2.3410914;37.319366;11.057811;75.58006;true
48.9284;2.48237;-1.8529665;48.92853;2.4823012;14.842929;5.0152264;40.792057;true
48.8738;2.31422;-0.027532455;48.873775;2.3144305;2.5445023;15.393351;54.64045;true
48.8738;2.32522;-3.7848885;48.873753;2.3251488;5.0890045;5.2124715;103.03182;true
48.9729;2.27125;-3.0606833;48.972916;2.2710345;1.6963348;15.728206;82.95519;true
48.9734;2.48871;-2.877802;48.973434;2.4885032;3.8167531;15.08431;58.22439;true
48.8682;2.34074;-1.1745386;48.868244;2.3407714;5.0890045;2.3014154;87.71965;true
48.8418;2.34843;-5.9721127;48.841732;2.3486922;7.6335063;19.18858;72.75489;true
48.842;2.32575;-3.319516;48.84199;2.325705;0.8481674;3.2969337;81.31186;true
48.7217;2.26175;-1.6758068;48.72196;2.261698;28.837688;3.8119378;62.335518;true
48.7009;2.29523;-2.3546262;48.70096;2.2950833;6.361255;10.758307;68.72366;true
48.707;2.59376;-1.6727257;48.707222;2.5937152;24.596853;3.2883198;47.743782;true
48.7081;2.31107;-0.4837909;48.70835;2.3117845;27.989525;52.41957;66.997925;true
48.6307;2.485;-5.420378;48.630444;2.485318;28.413605;23.368437;80.96386;true
48.8827;2.34141;-3.9514241;48.88258;2.3412433;13.570679;12.183508;56.118374;true
48.8828;2.29599;-4.24595;48.882698;2.295926;11.450259;4.671207;68.92614;true
48.883;2.35156;-5.861944;48.882946;2.3517425;5.9371715;13.333803;71.55492;true
48.8931;2.13853;-4.231998;48.892838;2.1383352;29.261774;14.237276;73.679825;true
48.8932;2.33165;-4.337736;48.893055;2.3315697;16.115181;5.8726473;53.792027;true
48.8932;2.38064;-4.776264;48.89307;2.380662;14.418844;1.6032151;43.50721;true
48.9011;2.32852;-0.29299676;48.90118;2.3289578;8.905757;31.989546;58.21079;true
48.7982;2.48877;-5.7203918;48.798145;2.488874;5.9371715;7.612273;99.09071;true
48.8696;2.30681;-5.7555585;48.86957;2.3068633;2.9685857;3.9053233;70.25425;true
48.8697;2.35306;-2.9793878;48.86972;2.3529391;2.1204183;8.839261;57.942165;true
48.8625;2.33894;-5.8709393;48.86247;2.3390355;3.3926697;6.992217;71.17185;true
48.8625;2.33653;-6.1781745;48.862495;2.336575;0.4240837;3.2955837;41.369312;true
48.8742;2.29694;-4.863765;48.874176;2.2969372;2.5445023;0.20919451;56.69635;true
48.8741;2.35828;-5.8031607;48.874077;2.3582983;2.5445023;1.3423342;81.55364;true
48.8624;2.31464;-0.7516073;48.86251;2.314835;12.298427;14.263455;56.61208;true
48.8624;2.35819;-1.2535526;48.862427;2.3582141;2.9685857;1.7611357;84.30644;true
48.8176;2.3771;-0.11060636;48.81762;2.3773756;2.1204183;20.175194;66.12625;true
48.8171;2.35107;-4.1570854;48.817017;2.350984;9.329842;6.2829943;104.92844;true
48.8169;2.36839;-5.403948;48.8168;2.3684943;11.0261755;7.6268883;94.13767;true
48.8168;2.40367;-4.816313;48.816692;2.403683;11.874343;0.9424549;73.455734;true
48.8173;2.46523;-4.5156093;48.81717;2.4651787;14.418844;3.7523293;102.84866;true
