xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6909;2.32307;-0.04554489;48.690895;2.3232613;0.4240837;14.032321;68.248245;true
48.8885;2.3929;-4.1974707;48.888397;2.3928127;11.450259;6.3786077;61.29516;true
48.6432;2.54368;-5.1953135;48.643055;2.5437803;16.115181;7.373069;69.96392;true
48.8856;2.40001;-4.4810257;48.88547;2.3999753;14.418844;2.5446198;59.961605;true
48.8857;2.34769;-5.8417916;48.885662;2.3477988;4.2408366;7.947563;69.31139;true
48.8946;2.47935;-2.6970794;48.89467;2.4791331;7.6335063;15.857447;66.30934;true
48.8948;2.2274;-2.0704613;48.895008;2.227217;23.324602;13.382935;28.49924;true
48.9281;2.41527;-4.547003;48.92783;2.4152105;30.109941;4.3535213;59.92301;true
48.7712;2.4442;-6.136807;48.771133;2.4446015;7.209422;29.417356;45.21439;true
48.8681;2.32189;-5.218685;48.86799;2.3219805;12.298427;6.6078653;91.939125;true
48.8427;2.23166;-2.8914135;48.84274;2.2314303;4.2408366;16.798426;91.60802;true
48.8477;2.25385;-4.5243144;48.847473;2.253777;25.020937;5.337284;39.978756;true
48.7996;2.45686;-6.1880283;48.79959;2.456988;0.8481674;9.375405;93.942345;true
48.8335;2.34168;-3.8213527;48.833454;2.341631;5.0890045;3.5940928;65.66356;true
48.7984;2.34445;-3.5445974;48.798332;2.3442261;7.6335063;16.394258;78.593475;true
48.8519;2.38335;-0.34715307;48.851936;2.38351;4.2408366;11.720114;85.14304;true
48.852;2.39402;-5.1077743;48.851883;2.3940938;13.146594;5.389148;67.70195;true
48.7136;2.28014;-3.4946077;48.713516;2.2798147;9.329842;23.854685;91.22701;true
48.9392;2.2721;-2.3346128;48.939377;2.2718601;19.507849;17.514673;72.88926;true
48.8509;2.36919;-5.213018;48.85084;2.3692188;6.361255;2.1103601;86.84065;true
48.888;2.32503;-1.1466438;48.888203;2.3251824;22.476435;11.136533;67.86856;true
48.8881;2.24822;-3.747259;48.888042;2.248098;6.361255;8.923152;82.15132;true
48.8862;2.28586;-1.0725315;48.88628;2.2859492;8.905757;6.5183315;80.444664;true
48.8862;2.30177;-3.9382772;48.8861;2.3016393;11.0261755;9.550925;57.38622;true
48.8865;2.30853;-3.2508469;48.886497;2.3083465;0.4240837;13.420013;86.75493;true
48.8767;2.40387;-1.8514321;48.876827;2.403801;13.994762;5.0552807;96.99015;true
48.8768;2.30293;-5.5418453;48.87676;2.3029873;4.664921;4.1836724;90.669975;true
48.8769;2.28672;-3.645789;48.876827;2.2865727;8.0575905;10.772935;102.41863;true
48.8517;2.34273;-3.288174;48.851677;2.3424904;2.5445023;17.52792;94.20133;true
48.9287;2.34094;-2.5444314;48.92875;2.3407881;5.5130877;11.09264;76.08076;true
48.8624;2.35819;-5.084054;48.862335;2.3582478;7.209422;4.219751;82.9764;true
48.8738;2.31422;-5.55531;48.873737;2.3142955;6.7853394;5.5262656;42.838696;true
48.8738;2.32522;-3.1302295;48.873775;2.3251488;2.5445023;5.2124715;114.81602;true
48.9729;2.27125;-3.7024019;48.97283;2.2711186;7.6335063;9.586549;76.380196;true
48.9734;2.48871;-5.1471;48.973217;2.48884;20.356018;9.499461;57.060802;true
48.8682;2.34074;-0.76811594;48.868244;2.3408387;5.0890045;7.218076;91.61301;true
48.8418;2.34843;-0.1703939;48.841812;2.348709;1.2722511;20.427114;77.163536;true
48.842;2.32575;-3.1148324;48.842007;2.3256543;0.8481674;7.012525;57.725533;true
48.8597;2.34693;-3.6901698;48.859653;2.3468046;5.0890045;9.172348;69.543396;true
48.8689;2.30896;-2.6506135;48.868958;2.3087847;6.361255;12.814521;43.577225;true
