xSource ; ySource ; angle ; xTarget ; yTarget ; sens
0.0;0.0;0.0;0.0;-0.0;true
48.9107;2.34477;-5.0062075;48.910473;2.3448665;true
48.9024;2.24852;-4.015318;48.902275;2.2483842;true
48.8425;2.32842;-4.7864447;48.842415;2.3284183;true
48.9824;1.90663;-2.5522733;48.982586;1.9061711;true
48.8385;2.25171;-4.287882;48.838196;2.251485;true
48.6352;2.74392;-3.6202753;48.635094;2.743604;true
48.8752;2.22699;-6.0773005;48.87517;2.2271833;true
48.9465;2.45466;-0.6814266;48.946537;2.4547637;true
48.8487;2.35738;-1.7688142;48.848755;2.3573546;true
48.9287;2.34094;-0.7217984;48.928764;2.3410747;true
48.9456;2.38906;-1.1293806;48.945713;2.3891387;true
48.9591;2.29544;-5.399562;48.95895;2.295606;true
48.8513;2.37627;-2.4053473;48.85143;2.3760273;true
48.8761;2.35782;-3.1415927;48.876102;2.3577929;true
48.8418;2.34843;-3.8856049;48.841732;2.3483214;true
49.0211;2.59925;-3.648178;49.021023;2.5990741;true
48.8452;2.35609;-2.7420053;48.84524;2.355922;true
48.8758;2.32405;-4.309576;48.87569;2.3240027;true
48.9515;2.32233;-0.6043722;48.951656;2.3226883;true
48.7944;2.4306;-2.1438801;48.794495;2.4304955;true
48.8276;2.61611;-3.6805441;48.827374;2.61559;true
48.8581;2.27474;-0.87730443;48.85811;2.2747924;true
48.8542;2.49472;-1.8252414;48.85452;2.494587;true
48.8306;2.35077;-5.7440376;48.83056;2.350866;true
48.8424;2.58419;-2.9167814;48.842453;2.5838225;true
48.8485;2.24283;0.0;48.84849;2.242823;true
48.7984;2.34445;-4.9977283;48.798252;2.3445127;true
48.8375;2.35323;-0.38462555;48.837578;2.353546;true
48.8651;2.76858;-2.1017141;48.865295;2.7684116;true
48.8235;2.40484;-3.319189;48.823498;2.4047782;true
48.8771;2.26742;-0.34886032;48.877125;2.2675629;true
48.3776;3.01775;-2.4009256;48.37803;3.017058;true
48.8885;2.3929;-2.705199;48.8887;2.3922567;true
48.8975;2.38594;-3.6901422;48.897396;2.3857346;true
48.9417;2.42955;-3.280137;48.941643;2.4290464;true
48.831;2.34571;-2.258107;48.831078;2.3456082;true
48.8591;2.44249;-1.6718336;48.859283;2.4424613;true
48.8882;2.25119;-0.22575027;48.888203;2.2512493;true
48.8667;2.36496;-5.0961294;48.86654;2.3650393;true
48.7529;2.44177;-1.1771462;48.75328;2.44204;true
48.8199;2.25552;-2.378189;48.82001;2.2553275;true
48.8678;2.32106;-5.42774;48.867714;2.3211548;true
48.9371;2.35953;-3.8432379;48.936974;2.3593094;true
48.8685;2.36868;-4.0759935;48.86836;2.368511;true
48.8362;2.27897;-0.48976713;48.836445;2.2797136;true
48.8796;2.36988;-4.322611;48.879326;2.3697076;true
48.9032;2.30583;-1.6867783;48.903282;2.3058019;true
48.8899;2.32215;-4.6964126;48.889694;2.322149;true
48.8941;2.0928;-0.97733456;48.894173;2.0929;true
49.053;2.68787;-3.6054702;49.052948;2.68772;true
48.8765;2.29822;-3.031084;48.876495;2.2981;true
48.8141;2.30043;-0.0010615707;48.8141;2.3005269;true
48.9698;2.5044;-3.8778863;48.96974;2.5043278;true
48.9264;2.35226;-5.493515;48.9263;2.3523996;true
48.8814;2.36419;-3.3399978;48.881348;2.3638597;true
48.8962;2.40372;-5.59758;48.895912;2.4042222;true
48.8323;2.28797;-0.34376323;48.83231;2.288005;true
48.9407;2.32962;-6.0323114;48.94062;2.3301036;true
48.9335;2.15104;-0.0201453;48.933502;2.1512616;true
48.8535;2.41077;-4.5395284;48.853428;2.4107442;true
48.8268;2.52027;-0.23632237;48.826855;2.5207255;true
48.8919;2.35084;-3.3578908;48.891865;2.3506641;true
48.8738;2.31422;-0.1584452;48.873775;2.3142955;true
48.2232;2.75984;0.0;48.2232;2.7598503;true
48.6634;2.36035;-1.7254878;48.66368;2.360287;true
48.8363;2.40269;-2.3394425;48.83639;2.4025369;true
48.5917;2.64805;-1.0959086;48.592022;2.6483014;true
48.9481;2.4775;-3.2468822;48.94805;2.4769418;true
48.8597;2.40815;-4.8006773;48.85963;2.408166;true
48.8821;2.33349;-3.9430068;48.881977;2.3333223;true
48.7669;2.27141;-0.39066538;48.766956;2.271624;true
48.8853;2.3694;-5.127179;48.885117;2.3695054;true
48.9106;2.50312;-3.407469;48.910526;2.5027604;true
49.004;2.38684;-5.21813;49.00369;2.3870997;true
48.848;2.3948;-0.21544947;48.848015;2.3950205;true
48.867;2.29028;-2.5955362;48.867;2.2902465;true
48.8667;2.03626;-5.122653;48.86621;2.036595;true
48.8371;2.32187;-0.341658;48.837154;2.3220983;true
48.8269;2.36146;-2.2659247;48.826996;2.361332;true
48.87;2.29662;-0.8804337;48.870144;2.2968023;true
48.8537;2.3653;-6.026362;48.853645;2.3655787;true
48.8884;2.36011;-1.9074712;48.88845;2.3600678;true
48.9168;1.98011;-1.7580149;48.917137;1.9800034;true
48.8765;2.30742;-4.1796503;48.8764;2.3073354;true
48.8227;2.29882;-4.6635284;48.822624;2.2988248;true
48.877;2.3667;-3.4672027;48.876904;2.3662696;true
48.8361;2.59095;-1.4394935;48.836185;2.5909681;true
48.7491;2.35438;-0.098926954;48.749104;2.354557;true
48.912;2.31472;-5.9302716;48.911892;2.315172;true
48.8666;2.37297;-4.180456;48.866474;2.372859;true
48.8516;2.26678;-1.458906;48.851635;2.2667875;true
48.8048;2.53311;-2.7904048;48.804974;2.5323708;true
48.8376;2.29478;-0.76319313;48.83769;2.2949486;true
48.7773;2.45629;-4.4895515;48.777267;2.4562635;true
48.9836;2.47206;-4.779778;48.98316;2.4720886;true
48.8451;2.2979;-0.9591008;48.845272;2.2981;true
48.9526;2.52001;-2.6997995;48.952625;2.5198998;true
48.8636;2.28722;-5.6835985;48.863354;2.2877524;true
48.8596;2.28567;-6.230359;48.85957;2.286202;true
48.8874;2.25031;-5.894956;48.88726;2.250828;true
48.8382;2.33144;-1.7295717;48.838413;2.331401;true
48.9638;2.37011;-2.509498;48.963886;2.3699436;true
48.8754;2.2984;-4.3409166;48.875298;2.2983527;true
48.7948;2.27538;-3.6457245;48.7947;2.2751126;true
48.7136;2.28014;-3.946756;48.71341;2.2798483;true
48.8807;2.33769;-3.1650927;48.88068;2.3375692;true
48.7831;2.37917;-2.9633794;48.78313;2.3788419;true
48.8553;2.32605;-1.1922214;48.85543;2.3261433;true
48.8862;2.29374;-4.3647037;48.8861;2.2937014;true
48.9149;2.35565;-5.9629965;48.914776;2.3562086;true
48.9734;2.48871;-4.4886336;48.973118;2.488604;true
48.8648;2.28301;-0.7071428;48.86493;2.283219;true
48.6723;2.1957;-4.562232;48.671513;2.1955338;true
48.8705;2.36844;-2.5422833;48.870678;2.3680055;true
48.7631;2.34006;-0.78313625;48.76358;2.340822;true
48.9077;2.68059;-4.487745;48.90745;2.6805074;true
48.9498;2.52372;-3.5960908;48.949677;2.5233715;true
48.8142;2.34119;-1.1839206;48.814274;2.3412433;true
48.8994;2.08378;-4.7109675;48.899326;2.083783;true
48.8615;2.22098;-5.472909;48.86143;2.2210827;true
49.0053;2.58411;-2.9997778;49.005314;2.5839574;true
48.8666;2.2896;-0.9686404;48.86666;2.2896569;true
48.9091;2.35775;-4.570324;48.908775;2.3576746;true
49.0042;2.56759;-3.5646486;49.004044;2.5670877;true
48.8867;2.23909;-0.052091867;48.886703;2.2392836;true
48.8465;2.341;-5.3088245;48.846447;2.3410747;true
48.8718;2.27371;-5.2878933;48.87124;2.2742534;true
48.7985;2.3583;-1.6380166;48.79884;2.3582644;true
48.8511;2.33743;-1.1290159;48.851196;2.337485;true
48.8708;2.34291;-1.955834;48.871002;2.3427937;true
48.8693;2.35322;-2.894003;48.869396;2.3526359;true
48.9638;2.62547;-2.5543845;48.96411;2.6247416;true
48.8736;2.30973;-2.2673564;48.873657;2.3096442;true
49.0047;2.56693;-1.3832598;49.00481;2.566953;true
48.8645;2.30054;-5.6471343;48.864273;2.3009987;true
48.829;2.32317;-1.6475166;48.829082;2.3231769;true
48.8492;2.4252;-4.1853714;48.84908;2.4251027;true
48.9177;2.22803;-5.6263337;48.917603;2.2282114;true
48.715;2.25451;-6.2784405;48.714993;2.2549906;true
48.8571;2.28355;-0.25700116;48.857197;2.2841291;true
48.8916;2.40619;-0.2775256;48.891663;2.4064972;true
48.8828;2.3059;-3.445342;48.88273;2.3055995;true
48.8139;2.31751;-1.5221456;48.813934;2.3175147;true
48.8556;2.36031;-2.666703;48.855637;2.3601353;true
48.8876;2.38374;-2.4368045;48.88771;2.3835437;true
48.9414;2.30335;-6.0224953;48.941345;2.3036447;true
48.9783;2.63596;-1.9632756;48.978596;2.6357796;true
48.8623;2.36965;-2.4791663;48.86239;2.3695054;true
48.8604;2.31618;-1.8156265;48.860584;2.3161156;true
48.8342;2.33197;-0.45905918;48.83436;2.332446;true
48.8849;2.25992;-2.5123246;48.884937;2.2598104;true
49.1129;2.20073;-5.635255;49.11258;2.2013483;true
