xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.8885;2.3929;-2.4397905;48.888573;2.3927622;8.0575905;10.073321;62.07051;true
48.8857;2.34769;-5.1581664;48.885487;2.3478327;23.748686;10.422462;76.30327;true
48.8946;2.47935;-3.2674973;48.89457;2.4790823;3.3926697;19.569134;66.28084;true
48.848;2.3948;-2.9668713;48.848;2.3946497;0.0;10.988461;62.42393;true
48.8427;2.23166;-0.40855157;48.84277;2.231936;7.6335063;20.199978;54.864216;true
48.7984;2.34445;-2.621468;48.79843;2.3443441;3.3926697;7.751917;69.30647;true
48.852;2.39402;-1.7557502;48.85207;2.3939927;7.6335063;2.00567;86.66725;true
48.7136;2.28014;-5.3811436;48.713474;2.2802866;13.994762;10.755594;69.30756;true
48.888;2.32503;-0.83326757;48.888134;2.325216;14.842929;13.593891;95.40302;true
48.8862;2.28586;-0.13794388;48.886196;2.2860167;0.4240837;11.450651;57.841362;true
48.8865;2.30853;-4.370801;48.886333;2.308431;18.659683;7.2502923;74.66609;true
48.8767;2.40387;-3.2702692;48.87668;2.4036155;2.5445023;18.61738;80.41987;true
48.8769;2.28672;-6.2260456;48.87688;2.286859;2.1204183;10.162817;60.561924;true
48.8517;2.34273;-6.0493674;48.851692;2.3428273;0.8481674;7.115812;80.31432;true
48.9287;2.34094;-4.485982;48.928417;2.3408556;31.382193;6.164512;56.57459;true
48.9283;2.38301;-1.4685355;48.928417;2.3830214;13.146594;0.83587277;71.21044;true
48.8625;2.34965;-5.334143;48.862457;2.3497033;4.664921;3.905877;95.96019;true
48.8738;2.32522;-5.810833;48.873775;2.3252332;2.5445023;0.95881575;67.86472;true
48.8418;2.34843;-0.30592734;48.841827;2.3486416;2.9685857;15.490417;80.80714;true
48.842;2.32575;-1.8531241;48.842087;2.325705;9.753924;3.2969337;65.03142;true
48.8597;2.34693;-3.6193078;48.859653;2.346754;5.0890045;12.869189;85.27708;true
48.8787;2.46111;-0.013527512;48.878696;2.461353;0.4240837;17.7625;79.92617;true
48.8742;2.29694;-3.614198;48.87419;2.2969205;0.8481674;1.4294958;60.61803;true
48.8741;2.35828;-2.922113;48.874123;2.3581128;2.5445023;12.22047;55.988434;true
48.8624;2.35819;-3.0337982;48.862404;2.3580623;0.4240837;9.346225;56.676704;true
48.8171;2.35107;-2.1498706;48.81721;2.3509672;12.298427;7.522141;86.262695;true
48.8169;2.36839;-5.1289525;48.816845;2.3684099;5.9371715;1.4485852;72.43082;true
48.8173;2.46523;-1.033846;48.817528;2.4654486;25.44502;16.00412;96.150475;true
48.8602;2.34645;-5.5501;48.86001;2.346754;21.204185;22.233133;47.75197;true
48.8835;2.32902;-2.7358382;48.883587;2.3287215;9.753924;21.821901;73.28468;true
48.8837;2.32687;-4.645884;48.883602;2.3268678;11.0261755;0.15686606;59.663326;true
48.8997;2.28355;-0.9165838;48.8998;2.2836742;11.0261755;9.077896;72.11824;true
48.8994;2.08378;-1.6101907;48.899693;2.0837493;32.654446;2.2477076;85.209785;true
48.9345;2.34376;-5.246064;48.93435;2.343889;16.963346;9.419812;68.66817;true
48.8693;2.35322;-5.467962;48.869186;2.3533773;12.72251;11.506824;55.6312;true
48.8575;2.35398;-4.413409;48.857452;2.35395;5.0890045;2.1972754;105.78207;true
48.7631;2.34006;-1.5251805;48.7632;2.3400636;11.0261755;0.26207334;73.67032;true
48.8452;2.3779;-1.8267695;48.845295;2.3778474;10.602093;3.8374553;86.77498;true
48.845;2.37397;-2.3889744;48.845173;2.3736682;19.083767;22.082897;47.217316;true
48.8454;2.3242;-3.5621083;48.845364;2.3240533;4.2408366;10.727388;88.76609;true
48.7342;2.36749;-0.9093446;48.734264;2.3675673;7.209422;5.664041;46.546177;true
48.8661;2.3235;-0.046253864;48.866104;2.3236656;0.4240837;12.117809;51.06073;true
48.8839;2.33345;-5.813515;48.883823;2.33371;8.481673;18.998148;80.47869;true
48.9026;2.39335;-2.6708088;48.902725;2.392931;13.994762;30.61217;82.74057;true
48.9341;2.37156;-2.6912074;48.93417;2.3713255;7.6335063;17.1334;93.00848;true
48.8806;2.35505;-2.2146137;48.880665;2.3549614;7.209422;6.4841986;73.505875;true
48.8735;2.33716;-3.4418254;48.87349;2.3370974;1.2722511;4.58491;69.599106;true
48.8596;2.34529;-3.646454;48.859516;2.3450687;9.329842;16.182428;89.10672;true
48.8572;2.21633;-6.268457;48.85718;2.2168188;2.1204183;35.749535;68.90076;true
48.8665;2.32813;-5.760189;48.866444;2.3282497;6.361255;8.752649;60.501366;true
48.8414;2.36363;-5.003489;48.84121;2.3637078;21.204185;5.6868415;52.537483;true
48.8414;2.32082;-1.8620057;48.84158;2.3207333;19.931932;6.3497257;51.512203;true
48.877;2.3667;-4.0097284;48.87685;2.3665223;16.539265;12.986763;82.14342;true
48.8341;2.3137;-4.1426764;48.83401;2.3136046;9.753924;6.9787383;101.50635;true
