xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6894;2.59975;-1.6431509;48.689526;2.5997317;13.994762;1.3472829;68.641266;true
48.6875;2.51246;-3.7046487;48.68741;2.5122654;10.178009;14.278236;93.81456;true
48.6909;2.32307;-0.5010495;48.691124;2.3237164;25.020937;47.433445;79.87244;true
48.8885;2.3929;-5.9635053;48.88848;2.392931;2.1204183;2.2656257;93.52735;true
48.8884;2.36011;-5.08442;48.888287;2.3601692;12.72251;4.3221254;65.33514;true
48.6398;2.31318;-6.2754846;48.639805;2.313588;0.4240837;29.967152;77.07095;true
48.6432;2.54368;-4.2697535;48.64295;2.5435107;27.989525;12.43439;89.069885;true
48.8859;2.39013;-4.1892633;48.8858;2.390049;11.0261755;5.925791;77.61419;true
48.8856;2.40001;-3.960385;48.88539;2.3997393;23.324602;19.799234;90.34447;true
48.8855;2.31639;-3.649709;48.885406;2.3161323;10.602093;18.840677;75.27718;true
48.8857;2.34769;-3.7124724;48.88558;2.3474114;13.570679;20.374346;104.80732;true
48.8946;2.47935;-2.0603073;48.894722;2.479234;13.570679;8.486347;90.49872;true
48.8947;2.28463;-4.178925;48.89457;2.2845166;14.418844;8.294646;64.82297;true
48.8951;2.22246;-2.820254;48.895172;2.2221105;8.0575905;25.545916;62.745243;true
48.8948;2.2274;-4.9260817;48.89468;2.2274363;13.146594;2.6487057;48.327213;true
48.8766;2.35866;-4.2123804;48.87647;2.358568;14.418844;6.7287664;58.245598;true
48.8765;2.32526;-5.018098;48.87636;2.3253174;15.267013;4.2011294;52.75043;true
48.9376;2.50345;-1.3953675;48.93768;2.5034683;8.905757;1.3406295;74.555275;true
48.8335;2.34168;-5.760374;48.833454;2.341732;5.0890045;3.8034573;95.2954;true
48.8521;2.29814;-1.3593737;48.85217;2.2981672;7.6335063;1.9882253;86.37775;true
48.9281;2.41527;-4.4335794;48.92779;2.4151428;34.350777;9.29912;56.2257;true
48.8633;2.4378;-2.7646902;48.863354;2.4375908;5.9371715;15.291961;86.13298;true
48.8636;2.28722;-5.306749;48.863495;2.287331;11.874343;8.12544;83.39255;true
