xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6875;2.51246;-3.6268635;48.687233;2.5116925;29.685858;56.32555;69.88726;true
48.6909;2.32307;-1.1359733;48.690987;2.3231432;9.753924;5.3714743;45.851173;true
48.8885;2.3929;-4.376383;48.88848;2.3928804;2.1204183;1.4290872;77.56771;true
48.6432;2.54368;-5.087044;48.64308;2.5437467;13.146594;4.903703;80.94223;true
48.8856;2.40001;-5.605743;48.88546;2.4002786;15.691096;19.624945;58.6373;true
48.8855;2.31639;-1.4778425;48.88561;2.3164191;11.874343;2.1263304;48.499077;true
48.8857;2.34769;-3.5867798;48.885624;2.347428;8.481673;19.154325;72.274994;true
48.8946;2.47935;-0.1427569;48.894608;2.47947;0.8481674;8.76516;90.60157;true
48.8947;2.28463;-4.9739456;48.894463;2.284702;26.293188;5.262571;78.0293;true
48.8948;2.2274;-3.1258965;48.89479;2.227217;0.8481674;13.382935;58.15211;true
48.9281;2.41527;-4.3627424;48.927753;2.4151092;38.591614;11.754506;46.86732;true
48.8636;2.28722;-5.0673313;48.863426;2.2872972;19.507849;5.649448;52.089916;true
48.8748;2.32841;-0.5018486;48.874966;2.328907;18.235598;36.347107;43.039364;true
48.8436;2.63403;-2.939066;48.843628;2.6338418;2.9685857;13.780393;77.03742;true
48.8681;2.32189;-5.223223;48.868015;2.3219635;9.329842;5.3699803;88.53092;true
48.8427;2.23166;-3.6999989;48.842663;2.231582;4.2408366;5.7041388;99.41194;true
48.8477;2.25385;-5.0493717;48.847527;2.253929;19.083767;5.7733374;49.04205;true
48.7996;2.45686;-2.2512162;48.799683;2.4567523;9.329842;7.891403;102.79015;true
48.7618;2.30238;-2.6393611;48.761887;2.302094;9.753924;20.96641;89.833565;true
48.7984;2.34445;-4.8771887;48.7982;2.344479;22.476435;2.1300313;79.08297;true
48.7983;2.32326;-5.7067165;48.798183;2.3235478;13.146594;21.073383;62.566185;true
48.8455;2.33017;-1.1161559;48.84556;2.3302214;6.361255;3.7676604;67.98517;true
48.715;2.25451;-4.426986;48.71477;2.2544007;25.44502;8.009634;51.644936;true
48.852;2.39402;-0.85867786;48.852116;2.394161;12.72251;10.307399;71.55391;true
48.7136;2.28014;-4.0611625;48.713364;2.2798483;26.293188;21.388765;91.552765;true
48.888;2.32503;-0.33148468;48.888012;2.3251488;1.2722511;8.679177;82.793335;true
48.8881;2.24822;-6.1518855;48.88808;2.2483842;2.1204183;12.007912;71.87891;true
48.8882;2.25119;-5.389483;48.888126;2.251266;8.0575905;5.5595303;72.88684;true
48.8864;2.27883;-0.7752551;48.886482;2.2789552;9.329842;9.150026;64.409454;true
48.8862;2.28586;-0.37610734;48.886227;2.2860336;2.9685857;12.688088;95.98745;true
48.8862;2.30177;-4.668161;48.886005;2.3017402;21.628267;2.178587;46.30404;true
48.8865;2.30853;-4.1755056;48.886456;2.3084815;5.0890045;3.5554318;87.35212;true
48.8958;2.23497;-5.893043;48.895744;2.2351549;6.361255;13.504644;73.74223;true
48.8954;2.22438;-0.63740027;48.895527;2.2246218;13.994762;17.669441;94.242226;true
48.8767;2.40387;-4.9224396;48.876595;2.4038851;11.874343;1.0982162;82.96206;true
48.8768;2.30293;-3.911768;48.87673;2.3028188;7.6335063;8.140729;92.135544;true
48.8769;2.28672;-4.770873;48.876797;2.2867246;11.450259;0.33120674;109.412895;true
