xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.8857;2.34769;-5.527416;48.88561;2.3478327;10.178009;10.422462;65.970856;true
48.888;2.32503;-1.3695158;48.88808;2.3250477;8.905757;1.2896768;75.71794;true
48.8862;2.28586;-0.48478267;48.88625;2.2860167;5.5130877;11.450651;59.543167;true
48.8767;2.40387;-3.3153262;48.876686;2.4038177;1.6963348;3.8350408;69.67985;true
48.8769;2.28672;-2.0732226;48.876934;2.2866738;3.8167531;3.381795;56.788605;true
48.8171;2.35107;-2.2280023;48.81721;2.3509505;12.298427;8.7438345;83.92276;true
48.8169;2.36839;-4.4408035;48.8168;2.3683426;11.0261755;3.4731138;83.24283;true
48.8173;2.46523;-2.196197;48.81738;2.465145;8.905757;6.2131596;85.43824;true
48.8575;2.35398;-3.0985708;48.8575;2.3538492;0.0;9.573843;74.89366;true
48.8454;2.3242;-1.5274127;48.845448;2.3242052;5.0890045;0.383744;79.241165;true
48.7342;2.36749;-1.4113238;48.734413;2.3675506;23.748686;4.4403286;50.413567;true
48.9026;2.39335;-4.201525;48.9024;2.3931668;22.052351;13.380847;63.905426;true
48.8806;2.35505;-6.029796;48.880566;2.3552647;3.8167531;15.687579;56.498512;true
48.8665;2.32813;-0.1306198;48.866512;2.3283677;1.2722511;17.38325;53.04652;true
48.8341;2.3137;-0.93888533;48.834194;2.3138068;10.602093;7.816186;53.022083;true
48.87;2.30548;-4.0551996;48.8699;2.3053973;11.0261755;6.049715;55.39792;true
48.8801;2.35303;-4.3056054;48.87994;2.3529222;17.811514;7.8787303;65.77245;true
48.8804;2.28064;-6.168829;48.880394;2.280927;0.8481674;20.986578;48.044937;true
48.8667;2.36496;-1.1528702;48.866783;2.3650224;9.329842;4.5680976;62.397373;true
48.8617;2.34731;-1.9273932;48.861824;2.3472598;13.994762;3.6792557;74.46905;true
48.8616;2.32046;-1.0184473;48.861702;2.3205647;11.450259;7.6549597;78.276794;true
48.8708;2.31269;-6.1080008;48.870785;2.3127787;1.6963348;6.4854703;47.584133;true
48.8708;2.32777;-5.724349;48.870777;2.3278282;2.5445023;4.2539105;54.959076;true
48.8671;2.30801;-4.009842;48.866947;2.3078072;16.963346;14.837481;66.29218;true
48.8621;2.36439;-5.703045;48.86204;2.3645;6.361255;8.055937;63.73299;true
48.8918;2.23715;-6.200794;48.89177;2.2373455;3.3926697;14.289928;46.477837;true
48.8555;2.33187;-0.46967617;48.855568;2.332092;7.6335063;16.236073;91.53863;true
48.8811;2.27073;-5.536612;48.88102;2.2708488;8.905757;8.680375;62.65764;true
48.8223;2.31357;-5.3109555;48.822224;2.3136384;8.481673;5.008424;64.38608;true
48.8793;2.29259;-0.0517771;48.8793;2.2926228;0.0;2.4054914;67.55676;true
48.8488;2.39697;-1.8149531;48.848988;2.3969078;20.7801;4.55229;44.346382;true
48.8486;2.34575;-1.4220288;48.84878;2.3457932;20.356018;3.1569645;79.94975;true
48.8758;2.32405;-2.443407;48.875813;2.3240197;1.2722511;2.2139044;43.37728;true
48.8709;2.33217;-4.772895;48.87076;2.3321931;15.267013;1.6911005;50.828;true
48.918;2.35832;-5.6096396;48.91782;2.358652;19.931932;24.262728;46.97357;true
