xSource ; ySource ; angle ; xTarget ; yTarget ; sens
0.0;0.0;0.0;0.0;-0.0;true
48.6915;2.11419;-0.6682198;48.691727;2.1146402;true
48.8946;2.47935;-2.7985864;48.89467;2.4790487;true
48.9277;2.53905;-3.935833;48.92749;2.5387414;true
48.8431;2.06656;-4.249157;48.842674;2.066239;true
48.9283;2.38301;-1.4278704;48.928364;2.3830214;true
48.9729;2.27125;-2.1253345;48.9732;2.270967;true
48.9734;2.38262;-4.6611004;48.973087;2.3826;true
48.8597;2.34693;-4.641889;48.859615;2.3469396;true
48.7689;1.93933;-1.8855174;48.769047;1.9392362;true
48.7693;1.99638;-2.8624449;48.769455;1.9955248;true
48.7217;2.26175;-4.654974;48.721428;2.2617319;true
48.6307;2.485;-3.961626;48.630337;2.484492;true
48.893;2.56089;-3.0292509;48.89301;2.5607173;true
48.8931;2.13853;-4.433997;48.89274;2.138386;true
48.8705;2.78841;-2.5637462;48.870678;2.7879775;true
48.5438;2.63451;-5.3610783;48.54365;2.6346843;true
48.8171;2.35107;-2.1116726;48.817333;2.350866;true
48.8173;2.46523;-6.0934653;48.817238;2.4657013;true
48.9638;2.37011;-5.655979;48.963596;2.3705335;true
49.0363;2.0813;-2.08154;49.036503;2.081137;true
48.7661;2.28628;-0.07848613;48.766106;2.2865052;true
48.7672;2.03928;-1.0579183;48.767395;2.039443;true
49.0322;2.36236;-2.840588;49.032253;2.36209;true
49.0341;2.47067;-0.14473885;49.0341;2.470757;true
48.7669;2.27141;-1.3281631;48.767147;2.2714896;true
48.7267;2.08415;-1.9763509;48.727013;2.0839176;true
48.6072;2.30735;-0.9852129;48.607254;2.3074028;true
48.8994;2.08378;-2.133854;48.899628;2.0835638;true
48.8732;2.67031;-1.235708;48.87345;2.6704292;true
48.8192;1.95542;-3.9758816;48.81915;1.9553813;true
48.8185;2.13088;-4.9182863;48.818306;2.130937;true
49.0092;2.56531;-3.1050978;49.00921;2.565032;true
48.7631;2.34006;-5.809837;48.763023;2.3402827;true
48.7322;2.43076;-2.2097695;48.732357;2.4305968;true
48.6189;2.30872;-3.2961261;48.61885;2.3082454;true
48.6152;2.38309;-3.5128965;48.615055;2.3825157;true
48.9023;2.46466;-0.17043778;48.902317;2.464825;true
48.9341;2.37156;-0.80702657;48.93417;2.3716962;true
48.8735;2.51007;-0.590895;48.87367;2.5104623;true
48.8735;2.33716;-1.4926299;48.873642;2.3371985;true
48.8415;2.48263;-5.285214;48.841324;2.4828067;true
49.0243;2.11514;-0.70805943;49.02459;2.1156852;true
48.7618;2.30238;-6.2670755;48.76178;2.3027682;true
48.8449;2.3846;-4.2257996;48.844685;2.38442;true
48.7865;2.29863;-1.673665;48.786697;2.2986054;true
48.975;2.24436;-1.0602055;48.975304;2.244626;true
48.9772;2.39279;-6.0662155;48.97715;2.3930655;true
48.7992;2.07189;-3.3399253;48.799152;2.0716152;true
48.6111;2.45893;-5.6072135;48.61094;2.4592128;true
48.8787;2.46111;-1.0096;48.87882;2.4612353;true
48.8285;1.99782;-4.8812823;48.828278;1.997884;true
48.8726;2.53417;-4.957588;48.872482;2.534208;true
48.8141;2.30043;-4.523611;48.813824;2.3003414;true
48.8617;2.34731;-4.846559;48.861633;2.3473437;true
48.7595;2.32097;-1.3261645;48.759686;2.3210368;true
48.7594;2.06298;-1.9458115;48.75992;2.0626662;true
48.7888;1.97252;-0.0022706592;48.7888;1.9726049;true
48.7888;2.3363;-4.409941;48.788746;2.3362718;true
48.9824;1.90663;-3.560588;48.982327;1.9063563;true
48.8555;2.33187;-0.5706755;48.855625;2.3321931;true
48.5962;2.2432;-3.7310147;48.59598;2.242705;true
49.0188;2.46206;-4.264389;49.01862;2.4619262;true
48.8728;2.43001;-3.7129576;48.872726;2.4298723;true
48.8212;2.45144;-0.3675589;48.82132;2.4519491;true
49.0631;2.11333;-5.1016293;49.062782;2.1135113;true
48.7831;2.37917;-0.17856987;48.783142;2.3796172;true
49.1129;2.20073;-4.893696;49.112247;2.200893;true
48.9422;2.03211;-5.7573614;48.942135;2.0322132;true
48.8268;2.52027;-3.3665664;48.82671;2.5196807;true
48.827;1.9802;-3.057577;48.827034;1.9796997;true
48.8093;2.37945;-4.773533;48.80889;2.3794823;true
49.0516;2.06683;-1.869501;49.05172;2.0667784;true
48.9997;2.17698;-0.6168388;48.999783;2.177181;true
48.9989;1.91175;-3.495876;48.99866;1.9108225;true
48.989;2.32785;-0.36829442;48.9891;2.3282497;true
48.7567;2.34642;-1.5373242;48.75679;2.346417;true
48.8867;2.23909;-4.039418;48.886513;2.2388792;true
48.9115;2.51527;-6.1752663;48.91147;2.5155854;true
48.7813;2.04627;-5.6286745;48.78123;2.0464034;true
48.9422;1.91881;-1.4252238;48.942474;1.918878;true
48.8139;1.89929;-3.1121547;48.813904;1.8985703;true
49.0075;2.53799;-0.3574994;49.007584;2.5383706;true
48.8486;2.34575;-1.8418053;48.848724;2.3456924;true
48.8489;2.44824;-4.253596;48.848824;2.4481912;true
48.6746;2.3927;-4.1620398;48.674366;2.3924928;true
48.9077;2.68059;-4.0213594;48.9074;2.6802375;true
48.918;2.35832;-0.3810384;48.91808;2.358669;true
48.8245;2.50094;-1.7048694;48.82459;2.5009067;true
48.8265;2.12518;-3.9599943;48.826294;2.1249037;true
48.8458;2.70411;-0.76782626;48.845966;2.704388;true
49.004;2.38684;-2.600242;49.00429;2.3861222;true
49.0038;2.22996;-5.4023156;49.003536;2.2302673;true
49.0435;2.20288;-2.9487817;49.043602;2.2019885;true
49.0411;2.54249;-3.3414629;49.04104;2.5420446;true
48.8385;2.65749;-0.4044267;48.838577;2.6577222;true
48.8651;2.40275;-1.171605;48.8652;2.4028065;true
48.7982;2.48877;-1.3104689;48.798553;2.4889245;true
48.7979;2.29523;-5.959072;48.797844;2.2954373;true
48.797;2.1364;-3.465747;48.79691;2.1360266;true
48.8492;2.4252;-2.3527694;48.84938;2.4249344;true
48.8591;2.44249;-3.0121818;48.859135;2.44204;true
48.6624;2.30948;-4.3958397;48.66192;2.3092566;true
48.6629;2.37431;-5.2418365;48.66259;2.374595;true
48.7957;2.1764;-4.764668;48.79552;2.1764228;true
48.9879;1.97657;-4.252965;48.98761;1.976363;true
48.8041;1.85375;-4.879019;48.804;1.8537756;true
48.8388;2.61528;-5.943442;48.838768;2.615371;true
48.7816;2.02914;-5.809826;48.781437;2.0296347;true
48.7817;2.31375;-0.18492173;48.781708;2.3139079;true
48.7369;2.2598;-4.8944464;48.736412;2.2599282;true
48.9223;2.27861;-3.5271792;48.922245;2.278416;true
48.5237;2.64382;-1.3721672;48.524002;2.643903;true
48.9826;2.01251;-4.5189295;48.982216;2.012411;true
48.9837;1.80442;-5.1330824;48.983337;1.8046834;true
48.7788;2.28959;-4.226267;48.77876;2.2895725;true
48.7799;2.47751;-1.3170494;48.780163;2.4776163;true
48.793;2.12412;-2.1134489;48.793335;2.1237915;true
48.7919;2.04393;-6.2387795;48.791874;2.044128;true
49.0729;2.34334;-1.7251568;49.07311;2.3432992;true
48.6785;2.34631;-0.22270787;48.67852;2.3464677;true
48.8975;2.3521;-2.8162465;48.897522;2.3519619;true
48.9983;2.27197;-3.5833447;48.9982;2.2716746;true
48.995;2.41728;-5.0999746;48.994854;2.4173505;true
48.7831;1.99201;-3.692826;48.782852;1.9913956;true
48.8542;2.65035;-1.0390153;48.854317;2.6504588;true
48.7477;2.30348;-1.6744297;48.747993;2.3034425;true
48.6948;2.37154;-5.228631;48.694695;2.3716288;true
48.6937;2.38444;-0.19782205;48.693737;2.3847404;true
48.6462;2.81834;-2.2656634;48.646317;2.818178;true
48.6477;2.37992;-2.983234;48.647713;2.3798025;true
48.6316;2.43429;-5.0801654;48.63128;2.4344728;true
48.6332;2.41388;-5.0814075;48.632984;2.41398;true
48.994;1.68134;-3.60665;48.99384;1.6808827;true
48.993;1.69972;-4.36164;48.992584;1.6994883;true
48.8636;2.41264;-6.1517463;48.86357;2.4128342;true
48.9549;1.71506;-1.7176906;48.95525;1.7149757;true
48.7745;1.9775;-2.7458065;48.774616;1.9770371;true
48.8051;2.32425;-3.7149239;48.804905;2.3238006;true
48.8046;2.03726;-1.7976383;48.804688;2.0372186;true
0.0;0.0;3.1415927;0.0;-0.0;false
48.6915;2.11419;2.5602195;48.691704;2.114674;false
48.8946;2.47935;-0.13443351;48.894543;2.4788127;false
48.9277;2.53905;-0.42749786;48.92767;2.5389771;false
48.8431;2.06656;-1.825988;48.842606;2.0667615;false
48.9283;2.38301;-1.5392535;48.9282;2.3830044;false
48.9729;2.27125;-0.43631458;48.97278;2.270866;false
48.9734;2.38262;-2.1244738;48.97305;2.382937;false
