xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6875;2.51246;-4.720105;48.687218;2.512451;31.382193;0.66491795;80.19579;true
48.6909;2.32307;-1.0487347;48.691;2.3231769;11.450259;7.838504;53.700523;true
48.8885;2.3929;-0.83667177;48.888588;2.3929982;9.753924;7.1802907;66.91742;true
48.6432;2.54368;-5.9559836;48.643055;2.5442185;16.115181;39.562378;78.04139;true
48.8856;2.40001;-0.09982714;48.88561;2.40038;0.8481674;27.032227;44.853256;true
48.8857;2.34769;-3.9679832;48.88561;2.347563;10.178009;9.289586;118.345085;true
48.8946;2.47935;-2.5878763;48.89469;2.479116;10.178009;17.1121;69.531784;true
48.8947;2.28463;-4.7015576;48.894585;2.2846177;12.72251;0.906138;78.648315;true
48.8948;2.2274;-2.8682835;48.894855;2.227032;6.361255;26.905277;21.307688;true
48.8766;2.35866;-1.592589;48.87673;2.358669;14.842929;0.6624175;43.613968;true
48.8689;2.30896;-1.911409;48.868984;2.3089027;9.329842;4.184333;67.13302;true
48.9281;2.41527;-3.8103402;48.927956;2.4149911;16.115181;20.374477;55.752636;true
48.8681;2.32189;-4.959062;48.868015;2.3219132;9.329842;1.6911951;106.205055;true
48.8679;2.26962;-5.5828667;48.867783;2.269821;13.146594;14.697763;47.716747;true
48.8427;2.23166;-2.604943;48.842808;2.2313797;11.874343;20.496521;98.55874;true
48.8477;2.25385;-5.159566;48.84759;2.253912;11.874343;4.534948;48.181465;true
48.7996;2.45686;-2.1148632;48.79973;2.4567523;14.418844;7.891403;99.51379;true
48.7618;2.30238;-2.7689936;48.761833;2.302229;3.8167531;11.077253;82.063934;true
48.8613;2.28372;-0.0516329;48.861294;2.2838764;0.8481674;11.438914;80.67297;true
48.7984;2.34445;-3.7421358;48.7982;2.34399;22.476435;33.678936;75.42038;true
48.8455;2.33017;-2.1106122;48.84556;2.3301036;6.361255;4.849119;96.80224;true
48.8519;2.38335;-5.139925;48.85183;2.383392;7.6335063;3.0869942;82.169846;true
48.8521;2.29814;-0.33630902;48.85213;2.2983022;3.3926697;11.85959;62.22943;true
48.852;2.39402;-0.3089198;48.85203;2.394161;3.3926697;10.307399;84.284805;true
48.8521;2.33953;-2.4736717;48.852207;2.3393219;11.874343;15.225621;44.70212;true
48.8507;2.3235;-3.343267;48.850666;2.323413;3.8167531;6.3659873;102.06541;true
48.8761;2.35782;-2.9786754;48.876102;2.3577423;0.4240837;5.682901;43.03028;true
48.888;2.32503;-4.336252;48.887947;2.3249972;5.9371715;2.405073;106.59883;true
48.8881;2.24822;-4.387003;48.88788;2.2481146;24.596853;7.7031894;89.71333;true
48.8864;2.27883;-3.4422612;48.886387;2.2787697;1.2722511;4.409441;83.07728;true
48.8862;2.28586;-0.6524916;48.886234;2.2859662;3.8167531;7.755769;98.29617;true
48.8862;2.30177;-4.351611;48.886047;2.3016727;16.963346;7.1109076;59.961395;true
48.8862;2.29374;-5.6485114;48.886047;2.2940385;16.963346;21.820724;36.62429;true
48.8865;2.30853;-4.6154284;48.886444;2.308515;6.361255;1.098001;91.86004;true
48.8958;2.23497;-5.219269;48.895702;2.2350368;11.0261755;4.879097;72.5505;true
48.8954;2.22438;-6.167714;48.89539;2.224605;1.2722511;16.44966;60.692688;true
48.8767;2.40387;-4.225879;48.876617;2.403801;9.329842;5.0552807;104.360146;true
48.8768;2.30293;-4.5513954;48.87668;2.302903;13.570679;1.9872446;101.33027;true
48.8769;2.28672;-2.178475;48.876904;2.2867074;0.4240837;0.9238925;105.99162;true
48.8401;2.10967;-0.36605388;48.84015;2.1099048;5.5130877;17.183083;66.33593;true
48.8517;2.34273;-3.2665632;48.851692;2.3426588;0.8481674;5.2147737;99.05948;true
48.8516;2.37567;-2.7672892;48.85161;2.3755724;0.8481674;7.1332664;73.22793;true
48.9287;2.34094;-1.3045443;48.928787;2.3409905;9.753924;3.6917417;87.18242;true
48.9284;2.48237;-2.8503046;48.928417;2.4822507;2.1204183;8.70699;39.98763;true
48.9283;2.38301;-4.321333;48.92816;2.38292;15.267013;6.565084;68.69278;true
48.8624;2.35819;-3.7028732;48.86232;2.3580117;8.905757;13.042866;90.268425;true
48.8738;2.31422;-4.664014;48.8737;2.3142114;11.0261755;0.62758857;68.83988;true
48.8738;2.32522;-2.7943046;48.87379;2.3251824;0.8481674;2.7544162;130.27966;true
48.9729;2.27125;-2.23842;48.973007;2.271102;11.874343;10.804441;81.46805;true
48.9734;2.48871;-1.7381811;48.97365;2.4886377;27.989525;5.271679;59.281063;true
48.8684;2.28264;-0.7200707;48.868454;2.282747;5.9371715;7.8282676;77.34828;true
48.8682;2.34074;-0.8646325;48.868244;2.340822;5.0890045;5.997628;92.39224;true
