"bts";"lon";"lat";"h0_moy";"h1_moy";"h2_moy";"h3_moy";"h4_moy";"h5_moy";"h6_moy";"h7_moy";"h8_moy";"h9_moy";"h10_moy";"h11_moy";"h12_moy";"h13_moy";"h14_moy";"h15_moy";"h16_moy";"h17_moy";"h18_moy";"h19_moy";"h20_moy";"h21_moy";"h22_moy";"h23_moy"
1;2.46986;48.1437;2.0000000000000000;2.8571428571428571;1.7142857142857143;1.00000000000000000000;1.5714285714285714;1.5714285714285714;2.4285714285714286;8.0000000000000000;9.2857142857142857;7.8571428571428571;8.2857142857142857;7.2857142857142857;6.7142857142857143;7.0000000000000000;6.4285714285714286;8.8571428571428571;7.5714285714285714;9.7142857142857143;7.5714285714285714;7.0000000000000000;4.1428571428571429;3.7142857142857143;2.8571428571428571;2.2857142857142857
2;2.69595;48.1487;2.4285714285714286;2.7142857142857143;1.7142857142857143;1.1428571428571429;2.5714285714285714;3.7142857142857143;10.0000000000000000;9.0000000000000000;8.0000000000000000;12.4285714285714286;16.0000000000000000;13.4285714285714286;11.1428571428571429;11.7142857142857143;11.2857142857142857;15.4285714285714286;13.7142857142857143;10.4285714285714286;16.1428571428571429;13.0000000000000000;8.8571428571428571;8.2857142857142857;6.7142857142857143;3.5714285714285714
3;2.65105;48.1685;2.4285714285714286;1.4285714285714286;2.7142857142857143;1.8571428571428571;3.1428571428571429;2.5714285714285714;5.4285714285714286;6.4285714285714286;6.0000000000000000;7.2857142857142857;10.0000000000000000;4.0000000000000000;3.8571428571428571;2.5714285714285714;5.4285714285714286;7.1428571428571429;5.7142857142857143;9.7142857142857143;12.8571428571428571;8.7142857142857143;9.4285714285714286;10.0000000000000000;7.1428571428571429;5.0000000000000000
4;2.52148;48.1711;1.00000000000000000000;0.42857142857142857143;0.42857142857142857143;0.28571428571428571429;0.57142857142857142857;0.57142857142857142857;0.71428571428571428571;1.8571428571428571;3.2857142857142857;3.4285714285714286;3.7142857142857143;4.1428571428571429;3.8571428571428571;4.0000000000000000;4.2857142857142857;4.2857142857142857;3.7142857142857143;5.2857142857142857;5.2857142857142857;3.5714285714285714;5.2857142857142857;3.8571428571428571;3.2857142857142857;1.2857142857142857
5;2.87746;48.1791;46.0000000000000000;44.2857142857142857;19.4285714285714286;28.4285714285714286;22.1428571428571429;34.0000000000000000;45.2857142857142857;53.4285714285714286;106.2857142857142857;144.7142857142857143;166.8571428571428571;204.8571428571428571;132.7142857142857143;130.4285714285714286;180.1428571428571429;186.8571428571428571;169.2857142857142857;181.1428571428571429;170.4285714285714286;104.7142857142857143;106.5714285714285714;77.5714285714285714;75.7142857142857143;54.7142857142857143
6;2.71669;48.1827;2.5714285714285714;3.1428571428571429;2.8571428571428571;3.2857142857142857;2.1428571428571429;1.8571428571428571;4.1428571428571429;4.7142857142857143;7.7142857142857143;8.7142857142857143;7.7142857142857143;18.4285714285714286;8.1428571428571429;13.2857142857142857;7.0000000000000000;8.7142857142857143;15.1428571428571429;9.1428571428571429;9.4285714285714286;11.0000000000000000;10.1428571428571429;5.4285714285714286;4.4285714285714286;3.0000000000000000
7;2.71303;48.2069;0.28571428571428571429;0.85714285714285714286;0.57142857142857142857;0.85714285714285714286;0.85714285714285714286;0.57142857142857142857;0.57142857142857142857;2.0000000000000000;2.4285714285714286;4.5714285714285714;2.7142857142857143;5.0000000000000000;1.00000000000000000000;6.0000000000000000;5.4285714285714286;2.5714285714285714;5.7142857142857143;3.2857142857142857;3.5714285714285714;4.4285714285714286;3.1428571428571429;2.0000000000000000;2.4285714285714286;1.00000000000000000000
8;2.95488;48.2174;2.4285714285714286;1.8571428571428571;1.7142857142857143;1.5714285714285714;1.4285714285714286;1.4285714285714286;1.8571428571428571;4.5714285714285714;5.5714285714285714;6.7142857142857143;8.0000000000000000;8.7142857142857143;7.0000000000000000;4.2857142857142857;5.7142857142857143;6.4285714285714286;6.0000000000000000;6.4285714285714286;4.4285714285714286;5.1428571428571429;5.0000000000000000;5.1428571428571429;3.1428571428571429;3.1428571428571429
9;2.60649;48.2199;1.1428571428571429;1.00000000000000000000;1.5714285714285714;1.00000000000000000000;1.4285714285714286;1.00000000000000000000;1.2857142857142857;2.4285714285714286;3.5714285714285714;3.0000000000000000;3.0000000000000000;3.2857142857142857;2.5714285714285714;2.0000000000000000;4.0000000000000000;3.5714285714285714;2.8571428571428571;3.7142857142857143;5.4285714285714286;4.2857142857142857;5.5714285714285714;4.8571428571428571;3.2857142857142857;2.7142857142857143
10;2.75984;48.2232;18.2857142857142857;17.7142857142857143;13.8571428571428571;11.7142857142857143;12.2857142857142857;21.1428571428571429;28.5714285714285714;32.8571428571428571;49.0000000000000000;76.5714285714285714;76.7142857142857143;115.7142857142857143;71.1428571428571429;55.7142857142857143;102.0000000000000000;99.4285714285714286;88.4285714285714286;101.0000000000000000;100.7142857142857143;63.8571428571428571;50.2857142857142857;39.0000000000000000;28.1428571428571429;21.1428571428571429
