xSource ; ySource ; angle ; xTarget ; yTarget ; sens
48.7499;2.32819;-5.276806;48.74984;2.3282664;true
48.7328;2.31426;-1.5100585;48.73323;2.3142955;true
48.87;2.30548;-3.3154035;48.86997;2.3052793;true
48.8708;2.32777;-1.1977639;48.87098;2.3278787;true
48.8555;2.33187;-2.3072972;48.85556;2.3318055;true
48.8685;2.29692;-0.08975817;48.868507;2.2971563;true
48.8735;2.33716;-1.3609213;48.873722;2.3372324;true
49.0935;2.54275;-4.47576;49.093178;2.5426512;true
48.8827;2.34141;-4.06374;48.88252;2.3412263;true
48.8765;2.29221;-5.589202;48.876442;2.2923195;true
48.8866;2.33311;-4.760482;48.886375;2.333137;true
48.8704;2.33547;-2.9772294;48.870422;2.3352604;true
48.8741;2.35828;-2.0043368;48.874146;2.3582478;true
48.7499;2.32819;1.7422403;48.750534;2.3283677;false
48.7328;2.31426;-0.5755923;48.732574;2.3137395;false
48.87;2.30548;-0.8086498;48.869953;2.3054311;false
48.8708;2.32777;1.7103996;48.870926;2.3277948;false
48.8555;2.33187;-2.657746;48.85542;2.3320587;false
48.8685;2.29692;2.953754;48.868523;2.2971563;false
48.8735;2.33716;0.8262007;48.873627;2.3369796;false
49.0935;2.54275;-1.4960415;49.092976;2.542685;false
48.8827;2.34141;-1.0518172;48.88255;2.3412938;false
48.8765;2.29221;-2.7972896;48.876484;2.2922523;false
48.8866;2.33311;-1.786053;48.886333;2.3332045;false
48.8704;2.33547;1.1783996;48.870445;2.335429;false
48.8741;2.35828;-2.8677986;48.874065;2.3583655;false
