xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6894;2.59975;-3.764341;48.689148;2.599226;27.989525;38.458797;67.84422;true
48.6875;2.51246;-4.055931;48.687263;2.5121813;26.293188;20.454975;84.68285;true
48.6909;2.32307;-1.5566108;48.691265;2.323076;40.712036;0.4374165;61.842033;true
48.8885;2.3929;-2.5293314;48.88856;2.3927622;6.7853394;10.073321;69.22167;true
48.6432;2.54368;-3.2309687;48.643166;2.5433757;3.8167531;22.346878;78.41571;true
48.8856;2.40001;-4.450005;48.885418;2.3999586;20.356018;3.764643;84.99321;true
48.8857;2.34769;-4.481864;48.88554;2.3476136;17.811514;5.594666;104.06637;true
48.8946;2.47935;-3.4587383;48.894516;2.4789813;9.329842;26.957659;86.43951;true
48.8948;2.2274;-4.773803;48.89467;2.2274194;14.418844;1.4114815;30.92144;true
48.8766;2.35866;-3.6925488;48.876495;2.3584163;11.450259;17.815542;34.334904;true
48.848;2.3948;-4.951632;48.84788;2.3948522;13.146594;3.819799;70.189735;true
48.9281;2.41527;-4.6409483;48.927776;2.415227;36.04711;3.151949;56.079983;true
48.8521;2.33953;-3.6366825;48.852016;2.3393219;9.329842;15.225621;63.803936;true
48.7712;2.4442;-1.4261459;48.77141;2.4442477;23.748686;3.4937477;60.792458;true
48.8547;2.35612;-3.3781059;48.85467;2.3559725;2.9685857;10.795155;55.34854;true
48.844;2.26065;-5.928868;48.843945;2.260889;6.361255;17.495726;50.927567;true
48.8681;2.32189;-3.9212677;48.868015;2.3217783;9.329842;8.177016;96.185905;true
48.8679;2.26962;-0.23174272;48.867943;2.2699053;4.664921;20.869778;40.108738;true
48.8427;2.23166;-3.6056948;48.84262;2.231447;8.905757;15.577357;103.17626;true
48.8477;2.25385;-5.2376776;48.84751;2.2539964;20.7801;10.709454;48.296272;true
48.7996;2.45686;-5.532599;48.799606;2.4568536;0.8481674;0.47138909;108.691986;true
48.7618;2.30238;-4.3106656;48.76175;2.3023639;5.5130877;1.1880964;92.38803;true
48.7984;2.34445;-3.6034265;48.798306;2.3441923;10.602093;18.873472;92.80321;true
48.7983;2.32326;-0.8343295;48.798386;2.3233793;9.329842;8.729653;65.40726;true
48.8613;2.38542;-4.4005394;48.861115;2.385347;20.7801;5.3532724;61.45521;true
48.8448;2.78961;-1.9803692;48.84524;2.789309;49.193707;22.013214;64.823616;true
48.715;2.25451;-2.4493685;48.715157;2.2542322;17.38743;20.37385;90.82973;true
48.8519;2.38335;-0.81403095;48.85192;2.383392;2.5445023;3.0869942;93.53552;true
48.852;2.39402;-0.87840587;48.8521;2.3941443;11.0261755;9.086557;78.29897;true
48.7136;2.28014;-4.545287;48.713543;2.2801182;6.361255;1.591478;100.75021;true
